ResumeID,Cleaned_Skills
R000001,"SQL, Power BI, Excel, Tableau"
R000002,"Python, Deep Learning, NLP, Machine Learning, Pandas"
R000003,"Git, System Design, Java, Spring Boot, REST APIs, Docker"
R000004,"TensorFlow, MLOps, Keras"
R000005,"REST APIs, Agile, Spring Boot, System Design, Git, Java"
R000006,"Data Cleaning, Power BI"
R000007,"System Design, Spring Boot"
R000008,"Product Roadmap, User Stories"
R000009,"SQL, Data Cleaning, Power BI, Reporting"
R000010,"Computer Vision, Python"
R000011,"Data Cleaning, Excel"
R000012,"Power BI, Reporting"
R000013,"Product Roadmap, User Stories, Stakeholder Management, Scrum"
R000014,"PyTorch, MLOps, Python, TensorFlow, Keras, Cloud"
R000015,"MLOps, Keras, Computer Vision"
R000016,"NLP, Machine Learning, Python"
R000017,"Power BI, Reporting, Excel, Data Cleaning"
R000018,"Power BI, Excel, SQL, Tableau"
R000019,"Product Roadmap, Stakeholder Management, Scrum"
R000020,"Machine Learning, Python, SQL, Statistics, NLP"
R000021,"Computer Vision, Cloud, Keras, MLOps, Python"
R000022,"NLP, Machine Learning, Statistics, SQL, Deep Learning, Pandas"
R000023,"Scrum, Agile, Stakeholder Management, Product Roadmap, User Stories"
R000024,"Reporting, Tableau, Data Cleaning, Power BI, SQL"
R000025,"Reporting, PM, Power BI, Data Cleaning, SQL"
R000026,"Computer Vision, MLOps, Cloud, Keras, PyTorch"
R000027,"Agile, Stakeholder Management, Scrum, User Stories"
R000028,"Agile, Stakeholder Management, User Stories"
R000029,"Scrum, Product Roadmap, User Stories, Stakeholder Management, Agile"
R000030,"Data Cleaning, SQL, Reporting"
R000031,"Stakeholder Management, Product Roadmap, User Stories, Agile"
R000032,"SQL, Pandas"
R000033,"Statistics, Python, Pandas, SQL, Machine Learning"
R000034,"Spring Boot, Agile"
R000035,"PyTorch, TensorFlow, Keras, Cloud, Computer Vision"
R000036,"Deep Learning, SQL, Python"
R000037,"Statistics, Machine Learning, Deep Learning, Pandas, NLP"
R000038,"Spring Boot, Agile, Java, System Design"
R000039,"Agile, Product Roadmap, User Stories, Scrum"
R000040,"Java, Agile, Git"
R000041,"Scrum, Stakeholder Management, Agile"
R000042,"Python, Statistics, Machine Learning, NLP"
R000043,"Reporting, Tableau, SQL, Power BI, Excel"
R000044,"Deep Learning, Machine Learning, NLP, Python, Congress"
R000045,"System Design, Git, Java, Spring Boot, Docker, Agile"
R000046,"Power BI, SQL, Data Cleaning, Excel"
R000047,Computer Vision
R000048,"Python, Cloud, PyTorch, MLOps, Computer Vision"
R000049,"Statistics, Machine Learning, SQL, NLP"
R000050,"Pandas, SQL, Python, NLP, Deep Learning"
R000051,"Agile, REST APIs, Docker, System Design, Git, Spring Boot"
R000052,"Stakeholder Management, Scrum"
R000053,"Scrum, Agile, User Stories, Stakeholder Management"
R000054,"Product Roadmap, Agile, Scrum, Stakeholder Management"
R000055,"Python, NLP, Pandas"
R000056,"Power BI, Reporting, Tableau, Excel"
R000057,"Deep Learning, Machine Learning, Pandas"
R000058,"SQL, Pandas, Machine Learning, Deep Learning, Statistics, NLP, Python"
R000059,"Spring Boot, System Design, Docker, REST APIs"
R000060,"PyTorch, Computer Vision, Cloud, Keras, TensorFlow, Python"
R000061,"Excel, Tableau, Data Cleaning, Reporting, SQL"
R000062,"System Design, Docker, Git, REST APIs"
R000063,"Deep Learning, Pandas, NLP, Python"
R000064,"MLOps, Python, Keras, TensorFlow, Cloud"
R000065,"PyTorch, Computer Vision, Python, Keras"
R000066,"Data Cleaning, SQL, Power BI, Reporting, Tableau"
R000067,"Python, Deep Learning, Machine Learning"
R000068,"Spring Boot, REST APIs, Git, Docker, Java"
R000069,"Statistics, Machine Learning, NLP, SQL, Deep Learning"
R000070,"System Design, Java, Spring Boot, REST APIs, Git"
R000071,"Java, System Design"
R000072,"Agile, Scrum, Product Roadmap, User Stories, Stakeholder Management"
R000073,"Keras, Computer Vision, Cloud, MLOps"
R000074,"Scrum, Stakeholder Management, User Stories"
R000075,"Reporting, SQL"
R000076,"Python, PyTorch, Computer Vision"
R000077,"Excel, Data Cleaning, Reporting, SQL"
R000078,"Stakeholder Management, User Stories, Product Roadmap, Scrum, Agile"
R000079,"Reporting, Data Cleaning, SQL, Tableau, Excel"
R000080,"System Design, Java, Git, Spring Boot"
R000081,"Python, MLOps, TensorFlow, PyTorch"
R000082,"Stakeholder Management, Scrum, Agile, Product Roadmap"
R000083,"User Stories, Agile, Product Roadmap"
R000084,"Scrum, Agile"
R000085,"System Design, REST APIs, Git, Docker, Java"
R000086,"NLP, Statistics, Pandas"
R000087,"Machine Learning, SQL, NLP, Deep Learning, Statistics"
R000088,"Power BI, Reporting, SQL"
R000089,"Computer Vision, MLOps"
R000090,"Excel, SQL, Tableau"
