JobID,Role,Cleaned_Skills
J000001,Data Analyst,"SQL, Excel, Power BI, Reporting, Data Cleaning, Tableau"
J000002,Data Scientist,"Statistics, Pandas, SQL, Machine Learning, NLP, Deep Learning, Python"
J000003,Software Engineer,"System Design, Agile, Git, Docker, Java"
J000004,ML Engineer,"Python, Computer Vision, Keras, MLOps, TensorFlow"
J000005,Software Engineer,"REST APIs, Agile, Docker, System Design, Spring Boot, Git"
J000006,Data Analyst,"Excel, SQL, Power BI, Data Cleaning, Reporting, Tableau"
J000007,Software Engineer,"REST APIs, Agile, Docker, Git, Java, Spring Boot, System Design"
J000008,Product Manager,"Stakeholder Management, Agile, User Stories, Product Roadmap"
J000009,Data Analyst,"Excel, Power BI, Reporting, Tableau, Data Cleaning"
J000010,ML Engineer,"MLOps, Python, Keras, PyTorch"
J000011,Data Analyst,"Tableau, SQL, Power BI, Reporting, Excel, Data Cleaning"
J000012,Data Analyst,"Excel, SQL, Reporting, Data Cleaning"
J000013,Product Manager,"Agile, User Stories, Stakeholder Management"
J000014,ML Engineer,"PyTorch, Computer Vision, Keras"
J000015,ML Engineer,"PyTorch, Python, Computer Vision, Keras, TensorFlow, MLOps, Cloud"
J000016,Data Scientist,"Deep Learning, SQL, NLP, Pandas"
J000017,Data Analyst,"Data Cleaning, Power BI, SQL, Tableau, Reporting"
J000018,Data Analyst,"SQL, Data Cleaning, Tableau, Reporting, Power BI, Excel"
J000019,Product Manager,"Scrum, Agile, Stakeholder Management, Product Roadmap, User Stories"
J000020,Data Scientist,"Pandas, Machine Learning, NLP, Python, Deep Learning, SQL, Statistics"
J000021,ML Engineer,"Computer Vision, Cloud, Keras"
J000022,Data Scientist,"Python, SQL, Deep Learning, NLP, Machine Learning"
J000023,Product Manager,"User Stories, Scrum, Product Roadmap, Stakeholder Management, Agile"
J000024,Data Analyst,"Excel, Tableau, Reporting, Power BI, SQL, Data Cleaning"
J000025,Data Analyst,"Reporting, SQL, Tableau"
J000026,ML Engineer,"TensorFlow, MLOps, Keras, Computer Vision"
J000027,Product Manager,"Product Roadmap, Agile, Scrum, Stakeholder Management"
J000028,Product Manager,"Stakeholder Management, User Stories, Agile, Scrum, Product Roadmap"
J000029,Product Manager,"User Stories, Product Roadmap, Agile, Stakeholder Management, Scrum"
J000030,Data Analyst,"Data Cleaning, SQL, Reporting, Tableau"
J000031,Product Manager,"Scrum, Product Roadmap, Stakeholder Management, User Stories, Agile"
J000032,Data Scientist,"Pandas, NLP, SQL, Statistics, Python, Machine Learning, Deep Learning"
J000033,Data Scientist,"Statistics, Machine Learning, NLP, SQL, Pandas, Deep Learning"
J000034,Software Engineer,"REST APIs, Git, Agile, Docker, Spring Boot"
J000035,ML Engineer,"Cloud, Computer Vision, Python"
J000036,Data Scientist,"Pandas, Machine Learning, Python, SQL, NLP"
J000037,Data Scientist,"SQL, Pandas, Deep Learning, NLP"
J000038,Software Engineer,"System Design, Spring Boot, Agile, REST APIs"
J000039,Product Manager,"Stakeholder Management, Scrum, Product Roadmap"
J000040,Software Engineer,"System Design, REST APIs, Java, Git"
J000041,Product Manager,"Scrum, Agile, Stakeholder Management, User Stories, Product Roadmap"
J000042,Data Scientist,"Pandas, Deep Learning, NLP, SQL, Machine Learning, Statistics"
J000043,Data Analyst,"SQL, Power BI, Tableau"
J000044,Data Scientist,"Python, Statistics, Machine Learning, Pandas, SQL, NLP"
J000045,Software Engineer,"Spring Boot, REST APIs, Agile, Java"
J000046,Data Analyst,"Power BI, Tableau, Excel, Reporting"
J000047,ML Engineer,"MLOps, PyTorch, Cloud, Python, TensorFlow, Computer Vision"
J000048,ML Engineer,"Cloud, MLOps, Python, Computer Vision, PyTorch, Keras, TensorFlow"
J000049,Data Scientist,"SQL, Machine Learning, Pandas"
J000050,Data Scientist,"Machine Learning, Statistics, Python, SQL"
J000051,Software Engineer,"Spring Boot, Java, Agile"
J000052,Product Manager,"Scrum, Stakeholder Management, User Stories, Agile, Product Roadmap"
J000053,Product Manager,"Stakeholder Management, Scrum, User Stories, Product Roadmap"
J000054,Product Manager,"User Stories, Agile, Product Roadmap, Stakeholder Management, Scrum"
J000055,Data Scientist,"Python, NLP, Deep Learning"
