Rank,JobID,Score,Role,Query
1,J000001,1,"Data Analyst","sql"
2,J000002,1,"Data Scientist","sql"
3,J000006,1,"Data Analyst","sql"
4,J000011,1,"Data Analyst","sql"
5,J000012,1,"Data Analyst","sql"
6,J000016,1,"Data Scientist","sql"
7,J000017,1,"Data Analyst","sql"
8,J000018,1,"Data Analyst","sql"
9,J000020,1,"Data Scientist","sql"
10,J000022,1,"Data Scientist","sql"
11,J000024,1,"Data Analyst","sql"
12,J000025,1,"Data Analyst","sql"
13,J000030,1,"Data Analyst","sql"
14,J000032,1,"Data Scientist","sql"
15,J000033,1,"Data Scientist","sql"
16,J000036,1,"Data Scientist","sql"
17,J000037,1,"Data Scientist","sql"
18,J000042,1,"Data Scientist","sql"
19,J000043,1,"Data Analyst","sql"
20,J000044,1,"Data Scientist","sql"
21,J000049,1,"Data Scientist","sql"
22,J000050,1,"Data Scientist","sql"
23,J000058,1,"Data Scientist","sql"
24,J000063,1,"Data Scientist","sql"
25,J000066,1,"Data Analyst","sql"
26,J000067,1,"Data Scientist","sql"
27,J000069,1,"Data Scientist","sql"
28,J000075,1,"Data Analyst","sql"
29,J000077,1,"Data Analyst","sql"
30,J000079,1,"Data Analyst","sql"
31,J000086,1,"Data Scientist","sql"
32,J000087,1,"Data Scientist","sql"
33,J000088,1,"Data Analyst","sql"
34,J000090,1,"Data Analyst","sql"
35,J000093,1,"Data Scientist","sql"
36,J000095,1,"Data Analyst","sql"
37,J000096,1,"Data Scientist","sql"
38,J000098,1,"Data Scientist","sql"
39,J000099,1,"Data Scientist","sql"
40,J000100,1,"Data Scientist","sql"
41,J000109,1,"Data Analyst","sql"
42,J000115,1,"Data Scientist","sql"
43,J000123,1,"Data Analyst","sql"
44,J000126,1,"Data Analyst","sql"
45,J000127,1,"Data Scientist","sql"
46,J000128,1,"Data Analyst","sql"
47,J000134,1,"Data Analyst","sql"
48,J000137,1,"Data Analyst","sql"
49,J000138,1,"Data Scientist","sql"
50,J000139,1,"Data Analyst","sql"
51,J000143,1,"Data Scientist","sql"
52,J000146,1,"Data Analyst","sql"
53,J000149,1,"Data Scientist","sql"
54,J000152,1,"Data Scientist","sql"
55,J000153,1,"Data Analyst","sql"
56,J000155,1,"Data Analyst","sql"
57,J000157,1,"Data Scientist","sql"
58,J000161,1,"Data Scientist","sql"
59,J000163,1,"Data Scientist","sql"
60,J000166,1,"Data Scientist","sql"
61,J000168,1,"Data Analyst","sql"
62,J000169,1,"Data Scientist","sql"
63,J000180,1,"Data Scientist","sql"
64,J000181,1,"Data Scientist","sql"
65,J000185,1,"Data Scientist","sql"
66,J000188,1,"Data Analyst","sql"
67,J000193,1,"Data Analyst","sql"
68,J000195,1,"Data Analyst","sql"
69,J000196,1,"Data Scientist","sql"
70,J000199,1,"Data Analyst","sql"
71,J000201,1,"Data Analyst","sql"
72,J000206,1,"Data Analyst","sql"
73,J000209,1,"Data Scientist","sql"
74,J000210,1,"Data Scientist","sql"
75,J000212,1,"Data Scientist","sql"
76,J000218,1,"Data Scientist","sql"
77,J000222,1,"Data Scientist","sql"
78,J000223,1,"Data Analyst","sql"
79,J000227,1,"Data Scientist","sql"
80,J000231,1,"Data Scientist","sql"
81,J000234,1,"Data Scientist","sql"
82,J000235,1,"Data Scientist","sql"
83,J000237,1,"Data Analyst","sql"
84,J000252,1,"Data Scientist","sql"
85,J000253,1,"Data Analyst","sql"
86,J000255,1,"Data Analyst","sql"
87,J000258,1,"Data Analyst","sql"
88,J000261,1,"Data Scientist","sql"
89,J000262,1,"Data Scientist","sql"
90,J000264,1,"Data Analyst","sql"
91,J000266,1,"Data Analyst","sql"
92,J000277,1,"Data Scientist","sql"
93,J000278,1,"Data Analyst","sql"
94,J000281,1,"Data Analyst","sql"
95,J000286,1,"Data Analyst","sql"
96,J000287,1,"Data Scientist","sql"
97,J000295,1,"Data Analyst","sql"
98,J000296,1,"Data Analyst","sql"
99,J000303,1,"Data Scientist","sql"
100,J000308,1,"Data Analyst","sql"
101,J000311,1,"Data Scientist","sql"
102,J000315,1,"Data Scientist","sql"
103,J000316,1,"Data Scientist","sql"
104,J000321,1,"Data Scientist","sql"
105,J000323,1,"Data Scientist","sql"
106,J000324,1,"Data Analyst","sql"
107,J000325,1,"Data Analyst","sql"
108,J000327,1,"Data Scientist","sql"
109,J000328,1,"Data Scientist","sql"
110,J000335,1,"Data Analyst","sql"
111,J000340,1,"Data Scientist","sql"
112,J000346,1,"Data Scientist","sql"
113,J000349,1,"Data Analyst","sql"
114,J000350,1,"Data Scientist","sql"
115,J000355,1,"Data Scientist","sql"
116,J000359,1,"Data Analyst","sql"
117,J000363,1,"Data Analyst","sql"
118,J000366,1,"Data Scientist","sql"
119,J000367,1,"Data Analyst","sql"
120,J000372,1,"Data Analyst","sql"
121,J000374,1,"Data Scientist","sql"
122,J000376,1,"Data Analyst","sql"
123,J000379,1,"Data Scientist","sql"
124,J000387,1,"Data Scientist","sql"
125,J000388,1,"Data Scientist","sql"
126,J000391,1,"Data Scientist","sql"
127,J000393,1,"Data Analyst","sql"
128,J000397,1,"Data Analyst","sql"
129,J000398,1,"Data Scientist","sql"
130,J000399,1,"Data Scientist","sql"
131,J000401,1,"Data Analyst","sql"
132,J000409,1,"Data Analyst","sql"
133,J000411,1,"Data Scientist","sql"
134,J000412,1,"Data Scientist","sql"
135,J000413,1,"Data Scientist","sql"
136,J000414,1,"Data Analyst","sql"
137,J000420,1,"Data Scientist","sql"
138,J000422,1,"Data Scientist","sql"
139,J000424,1,"Data Scientist","sql"
140,J000425,1,"Data Analyst","sql"
141,J000426,1,"Data Scientist","sql"
142,J000427,1,"Data Scientist","sql"
143,J000428,1,"Data Analyst","sql"
144,J000432,1,"Data Analyst","sql"
145,J000435,1,"Data Analyst","sql"
146,J000436,1,"Data Analyst","sql"
147,J000437,1,"Data Analyst","sql"
148,J000442,1,"Data Scientist","sql"
149,J000444,1,"Data Scientist","sql"
150,J000447,1,"Data Analyst","sql"
151,J000448,1,"Data Scientist","sql"
152,J000451,1,"Data Analyst","sql"
153,J000453,1,"Data Scientist","sql"
154,J000454,1,"Data Scientist","sql"
155,J000459,1,"Data Analyst","sql"
156,J000460,1,"Data Analyst","sql"
157,J000463,1,"Data Analyst","sql"
158,J000465,1,"Data Analyst","sql"
159,J000467,1,"Data Scientist","sql"
160,J000478,1,"Data Analyst","sql"
161,J000481,1,"Data Scientist","sql"
162,J000485,1,"Data Analyst","sql"
163,J000491,1,"Data Scientist","sql"
164,J000492,1,"Data Scientist","sql"
165,J000493,1,"Data Analyst","sql"
166,J000503,1,"Data Analyst","sql"
167,J000505,1,"Data Scientist","sql"
168,J000506,1,"Data Analyst","sql"
169,J000507,1,"Data Scientist","sql"
170,J000513,1,"Data Scientist","sql"
171,J000514,1,"Data Analyst","sql"
172,J000515,1,"Data Scientist","sql"
173,J000517,1,"Data Scientist","sql"
174,J000520,1,"Data Scientist","sql"
175,J000521,1,"Data Scientist","sql"
176,J000530,1,"Data Scientist","sql"
177,J000531,1,"Data Scientist","sql"
178,J000533,1,"Data Analyst","sql"
179,J000536,1,"Data Analyst","sql"
180,J000537,1,"Data Analyst","sql"
181,J000539,1,"Data Analyst","sql"
182,J000540,1,"Data Scientist","sql"
183,J000547,1,"Data Analyst","sql"
184,J000551,1,"Data Scientist","sql"
185,J000554,1,"Data Scientist","sql"
186,J000557,1,"Data Analyst","sql"
187,J000559,1,"Data Analyst","sql"
188,J000560,1,"Data Scientist","sql"
189,J000567,1,"Data Analyst","sql"
