ResumeID,Rank,JobID,Score,Role
R000001,1,J000001,4,"Data Analyst"
R000001,2,J000006,4,"Data Analyst"
R000001,3,J000011,4,"Data Analyst"
R000002,1,J000002,5,"Data Scientist"
R000002,2,J000020,5,"Data Scientist"
R000002,3,J000032,5,"Data Scientist"
R000003,1,J000007,6,"Software Engineer"
R000003,2,J000068,6,"Software Engineer"
R000003,3,J000091,6,"Software Engineer"
R000004,1,J000004,3,"ML Engineer"
R000004,2,J000015,3,"ML Engineer"
R000004,3,J000026,3,"ML Engineer"
R000005,1,J000007,6,"Software Engineer"
R000005,2,J000068,6,"Software Engineer"
R000005,3,J000091,6,"Software Engineer"
R000006,1,J000001,2,"Data Analyst"
R000006,2,J000006,2,"Data Analyst"
R000006,3,J000009,2,"Data Analyst"
R000007,1,J000005,2,"Software Engineer"
R000007,2,J000007,2,"Software Engineer"
R000007,3,J000038,2,"Software Engineer"
R000008,1,J000008,2,"Product Manager"
R000008,2,J000019,2,"Product Manager"
R000008,3,J000023,2,"Product Manager"
R000009,1,J000001,4,"Data Analyst"
R000009,2,J000006,4,"Data Analyst"
R000009,3,J000011,4,"Data Analyst"
R000010,1,J000004,2,"ML Engineer"
R000010,2,J000015,2,"ML Engineer"
R000010,3,J000035,2,"ML Engineer"
R000011,1,J000001,2,"Data Analyst"
R000011,2,J000006,2,"Data Analyst"
R000011,3,J000009,2,"Data Analyst"
R000012,1,J000001,2,"Data Analyst"
R000012,2,J000006,2,"Data Analyst"
R000012,3,J000009,2,"Data Analyst"
R000013,1,J000019,4,"Product Manager"
R000013,2,J000023,4,"Product Manager"
R000013,3,J000028,4,"Product Manager"
R000014,1,J000015,6,"ML Engineer"
R000014,2,J000048,6,"ML Engineer"
R000014,3,J000073,6,"ML Engineer"
R000015,1,J000004,3,"ML Engineer"
R000015,2,J000015,3,"ML Engineer"
R000015,3,J000026,3,"ML Engineer"
R000016,1,J000002,3,"Data Scientist"
R000016,2,J000020,3,"Data Scientist"
R000016,3,J000022,3,"Data Scientist"
R000017,1,J000001,4,"Data Analyst"
R000017,2,J000006,4,"Data Analyst"
R000017,3,J000009,4,"Data Analyst"
R000018,1,J000001,4,"Data Analyst"
R000018,2,J000006,4,"Data Analyst"
R000018,3,J000011,4,"Data Analyst"
R000019,1,J000019,3,"Product Manager"
R000019,2,J000023,3,"Product Manager"
R000019,3,J000027,3,"Product Manager"
R000020,1,J000002,5,"Data Scientist"
R000020,2,J000020,5,"Data Scientist"
R000020,3,J000032,5,"Data Scientist"
R000021,1,J000015,5,"ML Engineer"
R000021,2,J000048,5,"ML Engineer"
R000021,3,J000064,5,"ML Engineer"
R000022,1,J000002,6,"Data Scientist"
R000022,2,J000020,6,"Data Scientist"
R000022,3,J000032,6,"Data Scientist"
R000023,1,J000019,5,"Product Manager"
R000023,2,J000023,5,"Product Manager"
R000023,3,J000028,5,"Product Manager"
R000024,1,J000001,5,"Data Analyst"
R000024,2,J000006,5,"Data Analyst"
R000024,3,J000011,5,"Data Analyst"
R000025,1,J000001,4,"Data Analyst"
R000025,2,J000006,4,"Data Analyst"
R000025,3,J000011,4,"Data Analyst"
R000026,1,J000015,5,"ML Engineer"
R000026,2,J000048,5,"ML Engineer"
R000026,3,J000073,5,"ML Engineer"
R000027,1,J000019,4,"Product Manager"
R000027,2,J000023,4,"Product Manager"
R000027,3,J000028,4,"Product Manager"
R000028,1,J000008,3,"Product Manager"
R000028,2,J000013,3,"Product Manager"
R000028,3,J000019,3,"Product Manager"
R000029,1,J000019,5,"Product Manager"
R000029,2,J000023,5,"Product Manager"
R000029,3,J000028,5,"Product Manager"
R000030,1,J000001,3,"Data Analyst"
R000030,2,J000006,3,"Data Analyst"
R000030,3,J000011,3,"Data Analyst"
R000031,1,J000008,4,"Product Manager"
R000031,2,J000019,4,"Product Manager"
R000031,3,J000023,4,"Product Manager"
R000032,1,J000002,2,"Data Scientist"
R000032,2,J000016,2,"Data Scientist"
R000032,3,J000020,2,"Data Scientist"
